# Avellaneda-Stoikov (2008) vs Imbalance-Aware (2018)

Step,Inventory Avellaneda,PnL Avellaneda,Inventory Imbalance,PnL Imbalance
655,5,3002.45,-38,2707.09
660,5,3022.8,-48,2723.97
665,5,3043.25,-38,2737.59
670,5,3073.85,-38,2768.19
675,5,3094.27,-38,2778.2
680,5,3124.87,-38,2808.8
685,5,3145.25,-38,2829.39
690,5,3155.32,-38,2840.54
695,5,3185.92,-38,2871.14
700,5,3206.32,-38,2891.54
705,5,3226.82,-38,2911.18
710,5,3247.22,-38,2931.58
715,5,3277.77,-48,2948.61
720,5,3298.17,-38,2962.66
725,5,3328.77,-38,2983.06
730,5,3349.17,-38,3013.66
735,5,3369.42,-38,3025
740,5,3400,-38,3055.79
745,5,3420.4,-38,3076.19
750,5,3451,-38,3106.79
755,5,3471.4,-38,3127.19
760,5,3491.85,-38,3147.21
765,5,3522.45,-38,3178.11
770,5,3542.92,-38,3198.14
775,5,3563.32,-28,3222.89
780,5,3593.97,-18,3237.36
785,5,3614.27,-18,3258.12
790,5,3634.75,-18,3278.35
795,5,3655.22,-18,3298.48
800,5,3685.82,-18,3329.08
805,5,3706.22,-18,3349.48
810,5,3736.77,-18,3380.26
815,5,3757.3,-18,3400.21
820,5,3777.7,-18,3420.71
825,5,3808.3,-18,3451.31
830,5,3828.72,-18,3471.72
835,5,3849.15,-28,3497.53
840,5,3869.62,-38,3513.06
845,5,3900.22,-38,3533.46
850,5,3920.62,-38,3564.06
855,5,3951.22,-38,3584.46
860,5,3971.62,-48,3610.81
865,5,4002.25,-48,3631.07
870,5,4022.65,-38,3645.37
875,5,4053.25,-38,3675.97
880,5,4073.65,-38,3696.37
885,5,4104.25,-38,3726.97
890,5,4124.65,-38,3747.37
895,5,4155.17,-38,3778.54
900,5,4175.57,-48,3794.79
905,5,4206.15,-48,3815.53
910,5,4226.55,-48,3846.33
915,5,4257.15,-48,3866.93
920,5,4277.55,-48,3897.63
925,5,4308.15,-48,3918.03
930,5,4328.57,-48,3938.19
935,5,4359.17,-48,3969.09
940,5,4379.57,-48,3989.69
945,5,4410.2,-48,4020.25
950,5,4430.57,-38,4034.74
955,5,4451.12,-28,4048.45
960,5,4481.72,-28,4079.25
965,5,4502.1,-28,4099.79
970,5,4532.7,-28,4130.39
975,5,4553.07,-38,4146.58
980,5,4573.47,-48,4173.03
985,5,4593.82,-48,4193.91
990,5,4604.12,-48,4203.15
995,5,4634.47,-48,4215.75
1000,5,4654.9,-58,4232.41
1005,5,4675.55,-58,4250.01
1010,5,4706.15,-58,4280.91
1015,5,4726.3,-58,4304.41
1020,5,4746.95,-58,4321.91
1025,5,4767.35,-58,4342.31
1030,5,4797.95,-58,4372.91
1035,5,4818.35,-58,4393.31
1040,5,4848.95,-58,4424.01
1045,5,4869.27,-58,4445.28
1050,5,4889.5,-58,4467.81
1055,5,4910.05,-58,4486.57
1060,5,4940.67,-58,4517.08
1065,5,4961.07,-58,4537.68
1070,5,4991.77,-58,4567.42
1075,5,5012.07,-58,4589.18
1080,5,5042.67,-58,4609.78
1085,5,5052.95,-68,4635.91
1090,5,5083.62,-68,4655.29
1095,5,5104.02,-58,4679.14
1100,5,5134.65,-48,4692.75
1105,5,5155.07,-58,4719.36
1110,5,5185.67,-58,4739.76
1115,5,5206.1,-58,4759.87
1120,5,5226.5,-58,4780.27
1125,5,5257.1,-58,4811.07
1130,5,5277.5,-68,4827.87
1135,5,5308.07,-68,4859.11
1140,5,5328.47,-68,4879.51
1145,5,5348.77,-68,4901.27
1150,5,5369.17,-68,4921.67
1155,5,5399.8,-68,4941.73
1160,5,5420.2,-68,4962.13
1165,5,5440.57,-58,4976.62
1170,5,5471.2,-58,4996.73
1175,5,5491.55,-68,5003.61
1180,5,5511.97,-78,5019.72
1185,5,5542.57,-78,5050.32
1190,5,5562.95,-68,5064.61
1195,5,5583.3,-58,5068.79
1200,5,5613.9,-58,5089.39
1205,5,5634.27,-58,5120.58
1210,5,5654.7,-48,5134.89
1215,5,5675.1,-58,5140.99
1220,5,5705.72,-68,5146.65
1225,5,5726.15,-68,5146.31
1230,5,5756.75,-68,5166.91
1235,5,5777.17,-58,5170.72
1240,5,5807.77,-68,5186.87
1245,5,5828.15,-68,5197.51
1250,5,5858.75,-68,5218.11
1255,5,5879.17,-58,5230.82
1260,5,5909.77,-68,5238.17
1265,5,5930.2,-68,5258.23
1270,5,5960.8,-68,5278.83
1275,5,5981.2,-68,5299.43
1280,5,6011.8,-68,5330.03
1285,5,6032.2,-68,5340.33
1290,5,6062.8,-68,5360.93
1295,5,6083.2,-68,5391.53
1300,5,6113.8,-68,5411.93
1305,5,6134.2,-68,5432.33
1310,5,6164.8,-68,5452.73
1315,5,6185.22,-68,5462.59
1320,5,6215.82,-58,5487.14
1325,5,6236.22,-58,5507.54
1330,5,6266.82,-48,5522.29
1335,5,6287.22,-48,5553.19
1340,5,6317.82,-48,5573.59
1345,5,6338.22,-58,5599.24
1350,5,6368.85,-58,5609.15
1355,5,6389.25,-58,5629.65
1360,5,6419.85,-38,5650.05
1365,5,6440.27,-38,5660.16
1370,5,6470.9,-38,5670.17
1375,5,6491.3,-28,5685.97
1380,5,6521.87,-28,5717.01
1385,5,6542.27,-28,5727.21
1390,5,6562.7,-28,5738.67
1395,5,6593.3,-28,5748.87
1400,5,6613.7,-18,5762.87
1405,5,6644.3,-18,5783.47
1410,5,6664.72,-18,5793.58
1415,5,6695.32,-18,5814.08
1420,5,6715.75,-28,5819.29
1425,5,6746.35,-28,5839.79
1430,5,6766.77,-28,5849.85
1435,5,6797.37,-8,5871.35
1440,5,6817.77,2,5887.6
1445,5,6848.35,2,5897.89
1450,5,6868.75,2,5918.29
1455,5,6899.37,2,5938.7
1460,5,6919.77,2,5959.2
1465,5,6950.37,2,5979.8
1470,5,6970.8,12,5984.01
1475,5,7001.4,12,6004.51
1480,5,7021.8,12,6025.11
1485,5,7052.4,12,6056.01
1490,5,7072.8,22,6070.51
1495,5,7103.42,22,6080.92
1500,5,7123.82,32,6105.87
1505,5,7144.25,42,6121.03
1510,5,7174.85,42,6141.53
1515,5,7195.25,42,6161.93
1520,5,7225.87,32,6174.49
1525,5,7246.27,32,6194.89
1530,5,7276.9,22,6197.45
1535,5,7297.35,22,6197.67
1540,5,7327.95,2,6202.57
1545,5,7348.35,12,6215.67
1550,5,7378.97,12,6236.13
1555,5,7399.4,22,6239.49
1560,5,7430.02,22,6260.1
1565,5,7450.42,22,6280.7
1570,5,7481.02,32,6305.45
1575,5,7501.45,32,6315.81
1580,5,7521.85,32,6336.41
1585,5,7552.45,42,6351.01
1590,5,7572.85,42,6381.61
1595,5,7603.45,42,6402.01
1600,5,7623.85,42,6432.61
1605,5,7654.45,52,6436.81
1610,5,7674.85,42,6463.61
1615,5,7705.5,42,6474.33
1620,5,7725.9,42,6494.93
1625,5,7756.5,42,6515.43
1630,5,7776.97,42,6526.36
1635,5,7807.65,42,6526.99
1640,5,7828.07,32,6543.95
1645,5,7858.67,32,6564.35
1650,5,7879.1,32,6584.91
1655,5,7889.3,32,6595.21
1660,5,7919.9,32,6615.81
1665,5,7940.32,42,6630.62
1670,5,7970.92,42,6640.92
1675,5,7991.35,42,6661.63
1680,5,8011.75,42,6682.23
1685,5,8042.35,42,6702.73
1690,5,8062.75,42,6723.13
1695,5,8093.35,42,6743.53
1700,5,8113.75,42,6774.13
1705,5,8123.97,32,6775.59
1710,5,8154.57,32,6785.79
1715,5,8175,22,6801.05
1720,5,8185.22,22,6801.16
1725,5,8215.82,22,6811.36
1730,5,8236.22,22,6831.76
1735,5,8246.42,12,6833.31
1740,5,8277.02,12,6853.81
1745,5,8287.3,12,6864.19
1750,5,8287.25,12,6864.07
1755,5,8287.25,2,6866.07
1760,5,8307.7,2,6886.49
1765,5,8307.42,0,6886.93
1770,5,8307.75,-10,6889.83
1775,5,8307.55,-10,6890.23
1780,5,8307.9,-20,6892.13
1785,5,8307.8,-10,6895.23
1790,5,8307.65,-10,6895.53
1795,5,8328.35,-20,6901.13
1800,5,8328.42,-20,6900.83
1805,5,8328.12,-20,6902.03
1810,5,8328.12,-10,6904.28
1815,5,8328.55,-10,6903.43
1820,5,8328.65,0,6906.33
1825,5,8328.15,0,6906.33
1830,5,8328.45,0,6906.33
1835,5,8328.1,0,6906.33
1840,5,8328.62,0,6906.33
1845,5,8327.77,20,6909.43
1850,5,8328.17,20,6911.03
1855,5,8348.57,20,6911.03
1860,5,8359.02,10,6915.88
1865,5,8369.5,0,6918.23
1870,5,8391.42,0,6938.63
1875,5,8411.8,0,6959.03
1880,5,8432.17,10,6984.58
1885,5,8462.8,10,7005.03
1890,5,8483.2,20,7030.93
1895,5,8513.75,20,7040.93
1900,5,8534.15,20,7061.53
1905,5,8564.75,30,7087.93
1910,5,8585.15,30,7108.43
1915,5,8615.75,30,7139.03
1920,5,8624.27,30,7139.18
1925,5,8623.75,20,7140.63
1930,5,8634.67,10,7155.68
1935,5,8634.4,0,7158.33
1940,-5,8656.5,-10,7156.03
1945,-5,8676.9,0,7160.83
1950,-5,8697.3,0,7191.43
1955,-5,8717.7,0,7201.73
1960,-5,8748.4,0,7232.33
1965,-5,8770.35,10,7244.33
1970,-5,8778.87,10,7247.68
1975,-5,8809.45,10,7278.33
1980,-5,8829.85,20,7293.93
1985,-5,8860.45,20,7324.73
1990,-5,8880.87,20,7345.23
1995,-5,8911.47,20,7376.13
2000,-5,8931.87,20,7396.73
2005,-5,8952.3,20,7417.13
2010,-5,8982.97,10,7442.08
2015,-5,9003.37,10,7462.48
2020,-5,9034.02,10,7493.28
2025,-5,9054.42,10,7513.88
2030,-5,9085.02,10,7544.78
2035,-5,9105.42,10,7565.28
2040,-5,9136.02,0,7590.43
2045,-5,9156.45,-10,7605.83
2050,-5,9187.05,0,7631.33
2055,-5,9207.45,0,7651.73
2060,-5,9238.05,0,7682.33
2065,-5,9258.45,0,7702.83
2070,-5,9289,0,7733.53
2075,-5,9309.4,0,7753.93
2080,-5,9340,10,7779.43
2085,-5,9360.35,10,7799.93
2090,-5,9390.95,20,7825.63
2095,-5,9411.4,20,7845.93
2100,-5,9442,20,7876.83
2105,-5,9462.37,20,7897.53
2110,-5,9482.77,20,7918.13
2115,-5,9513.4,20,7948.93
2120,-5,9533.65,20,7970.13
2125,-5,9564.22,0,7979.63
2130,-5,9584.5,0,8010.33
2135,-5,9604.9,0,8030.93
2140,-5,9635.47,0,8051.33
2145,-5,9655.87,0,8082.23
2150,-5,9686.47,0,8102.83
2155,-5,9707.02,0,8133.73
2160,-5,9727.32,0,8154.33
2165,-5,9747.72,0,8174.73
2170,-5,9778.32,0,8205.43
2175,-5,9798.7,0,8226.03
2180,-5,9829.25,-10,8251.63
2185,-5,9849.65,-10,8272.03
2190,-5,9880.25,-10,8302.63
2195,-5,9900.65,-10,8323.03
2200,-5,9931.25,-10,8353.63
2205,-5,9951.65,-10,8374.03
2210,-5,9971.97,-20,8388.93
2215,-5,10002.7,-20,8420.13
2220,-5,10023.1,-20,8440.73
2225,-5,10043.5,-20,8471.63
2230,-5,10074.1,-20,8492.03
2235,-5,10094.5,-30,8517.83
2240,-5,10125.2,-40,8533.73
2245,-5,10145.6,-40,8564.73
2250,-5,10166,-50,8580.78
2255,-5,10196.6,-50,8590.73
2260,-5,10217,-50,8611.73
2265,-5,10247.6,-60,8638.33
2270,-5,10268,-60,8658.73
2275,-5,10298.6,-60,8678.93
2280,-5,10319,-70,8695.38
2285,-5,10349.6,-80,8712.43
2290,-5,10370,-80,8732.43
2295,-5,10400.6,-90,8759.63
2300,-5,10421,-90,8780.03
2305,-5,10451.6,-100,8797.63
2310,-5,10472,-90,8800.08
2315,-5,10502.6,-70,8806.48
2320,-5,10522.9,-70,8816.33
2325,-5,10553.5,-60,8840.73
2330,-5,10573.9,-60,8861.23
2335,-5,10604.5,-60,8871.13
2340,-5,10624.9,-50,8883.88
2345,-5,10645.1,-50,8902.13
2350,-5,10675.7,-50,8933.03
2355,-5,10695.9,-50,8951.63
2360,-5,10716.3,-50,8972.23
2365,-5,10736.9,-50,8994.83
2370,-5,10757.3,-50,9015.23
2375,-5,10787.9,-50,9045.58
2380,-5,10808.3,-50,9065.98
2385,-5,10838.9,-50,9096.68
2390,-5,10859.3,-40,9111.03
2395,-5,10879.4,-40,9119.23
2400,-5,10910,-40,9149.83
2405,-5,10930.4,-40,9170.23
2410,-5,10961,-40,9200.93
2415,-5,10981.4,-40,9221.53
2420,-5,11012,-50,9248.03
2425,-5,11032.4,-50,9268.43
2430,-5,11063,-60,9295.13
2435,-5,11083.4,-60,9315.53
2440,-5,11114,-50,9339.73
2445,-5,11134.4,-40,9354.23
2450,-5,11165,-40,9385.13
2455,-5,11185.4,-40,9395.13
2460,-5,11216,-40,9426.03
2465,-5,11236.4,-40,9446.23
2470,-5,11267,-40,9476.83
2475,-5,11287.3,-40,9496.93
2480,-5,11307.7,-40,9517.13
2485,-5,11328.1,-20,9535.83
2490,-5,11358.7,-20,9556.23
2495,-5,11379.1,-20,9586.83
2500,-5,11409.7,-20,9607.23
2505,-5,11430.1,-20,9637.83
2510,-5,11460.7,-20,9658.23
2515,-5,11481.1,-20,9688.83
2520,-5,11511.7,-20,9709.43
2525,-5,11532.1,-20,9740.23
2530,-5,11562.7,-20,9760.63
2535,-5,11583.1,-20,9791.23
2540,-5,11613.7,-20,9811.63
2545,-5,11634.1,-20,9842.23
2550,-5,11664.7,-20,9862.63
2555,-5,11685.1,-20,9893.33
2560,-5,11715.7,-20,9913.73
2565,-5,11736.1,-20,9944.33
2570,-5,11766.7,-20,9964.73
2575,-5,11787.1,-20,9995.33
2580,-5,11807.5,-20,10015.9
2585,-5,11838.1,-20,10046.5
2590,-5,11858.5,-20,10066.9
2595,-5,11889.1,-20,10097.5
2600,-5,11909.5,-20,10117.9
2605,-5,11929.9,-10,10132.5
2610,-5,11960.5,-10,10163.1
2615,-5,11980.9,-10,10183.5
2620,-5,12011.5,-10,10214.2
2625,-5,12031.9,-10,10234.6
2630,-5,12062.5,-10,10265.2
2635,-5,12082.9,-10,10285.6
2640,-5,12113.5,-10,10316.2
2645,-5,12133.9,-10,10336.6
2650,-5,12154.4,-10,10367.4
2655,-5,12185,0,10382.7
2660,-5,12205.4,0,10402.8
2665,-5,12236,0,10423.2
2670,-5,12256.4,0,10453.8
2675,-5,12287,0,10474.3
2680,-5,12307.4,0,10494.7
2685,-5,12327.9,0,10515.1
2690,-5,12358.5,-20,10524.8
2695,-5,12379,-20,10535.3
2700,-5,12399.4,-20,10555.8
2705,-5,12430,-10,10561.1
2710,-5,12450.4,-20,10576.1
2715,-5,12470.9,-10,10581.8
2720,-5,12501.6,-10,10592.2
2725,-5,12522,-10,10602.5
2730,-5,12552.7,-20,10607.7
2735,-5,12573.1,-40,10618.3
2740,-5,12603.7,-30,10633.7
2745,-5,12624.1,-30,10634
2750,-5,12644.5,-30,10634.1
2755,-5,12675.1,-30,10664.8
2760,-5,12695.5,-40,10680.4
2765,-5,12726.2,-50,10685.4
2770,-5,12746.6,-60,10700.9
2775,-5,12777.3,-80,10712.9
2780,-5,12797.7,-80,10714.1
2785,-5,12818.2,-80,10715.7
2790,-5,12828.6,-90,10724.5
2795,-5,12851,-80,10762
2800,-5,12871.5,-80,10794.4
2805,-5,12902.3,-80,10818.2
2810,-5,12922.7,-80,10838.8
2815,-5,12953.3,-80,10869.7
2820,-5,12973.8,-80,10892.3
2825,-5,12994.4,-90,10913.7
2830,-5,13025,-90,10944.6
2835,-5,13045.3,-80,10956.4
2840,-5,13065.8,-90,10984.6
2845,-5,13096.4,-90,11005.1
2850,-5,13116.7,-90,11025
2855,-5,13147.3,-90,11045.3
2860,-5,13167.7,-90,11065.5
2865,-5,13188.1,-80,11088.9
2870,-5,13218.7,-80,11109.5
2875,-5,13239.1,-80,11140.4
2880,-5,13269.7,-80,11161.4
2885,-5,13290.3,-80,11194.3
2890,-5,13300.6,-80,11217.2
2895,-5,13331.2,-80,11247.8
2900,-5,13351.6,-80,11268.6
2905,-5,13382.2,-100,11293.4
2910,-5,13402.6,-90,11306.2
2915,-5,13423.1,-90,11317.5
2920,-5,13453.7,-90,11348.5
2925,-5,13474.2,-90,11360.3
2930,-5,13484.4,-100,11388.2
2935,-5,13515,-90,11400
2940,-5,13535.4,-90,11431.1
2945,-5,13556,-90,11454.3
2950,-5,13586.6,-90,11485.2
2955,-5,13607,-90,11505.7
2960,-5,13637.6,-90,11536.3
2965,-5,13657.8,-90,11554.4
2970,-5,13678.2,-90,11574.6
2975,-5,13708.8,-90,11595.2
2980,-5,13729.2,-90,11615.8
2985,-5,13749.5,-90,11634.6
2990,-5,13780.1,-90,11665.2
2995,-5,13800.5,-90,11685.6
3000,-5,13831.1,-90,11715.9
3005,-5,13841.2,-90,11734.5
3010,-5,13871.8,-90,11765.1
3015,-5,13892.2,-80,11777.7
3020,-5,13922.7,-80,11807.2
3025,-5,13943.1,-80,11827.6
3030,-5,13973.7,-80,11857.6
3035,-5,13994.1,-80,11878.2
3040,-5,14024.7,-80,11909.1
3045,-5,14045.1,-80,11929.7
3050,-5,14075.7,-80,11960.6
3055,-5,14096,-80,11980.7
3060,-5,14126.6,-80,12011.3
3065,-5,14147,-80,12031.4
3070,-5,14167.4,-100,12044.8
3075,-5,14187.8,-90,12057.7
3080,-5,14218.3,-80,12080.7
3085,-5,14238.8,-80,12101.6
3090,-5,14269.4,-80,12122.4
3095,-5,14289.8,-80,12143
3100,-5,14320.4,-80,12173.9
3105,-5,14340.8,-80,12194.1
3110,-5,14371.4,-80,12225
3115,-5,14391.8,-80,12245.5
3120,-5,14412.2,-60,12252.6
3125,-5,14442.7,-50,12266.5
3130,-5,14463.2,-50,12287.4
3135,-5,14483.5,-50,12307.1
3140,-5,14514.1,-40,12321.6
3145,-5,14534.5,-40,12332.1
3150,-5,14554.9,-40,12352.6
3155,-5,14585.4,-50,12357.8
3160,-5,14605.8,-40,12361.9
3165,-5,14626.2,-40,12361.5
3170,-5,14646.5,-40,12360.9
3175,-5,14677,-40,12360.3
3180,-5,14697.4,-40,12370.5
3185,-5,14727.9,-40,12369.9
3190,-5,14748.3,-40,12369.5
3195,-5,14768.6,-50,12374.1
3200,-5,14789,-60,12379.3
3205,-5,14819.5,-60,12378.4
3210,-5,14839.9,-50,12382.6
3215,-5,14859.2,-50,12382.3
3220,-5,14879.5,-50,12401.6
3225,-5,14899.9,-70,12414.5
3230,-5,14930.5,-70,12445.4
3235,-5,14950.9,-70,12466
3240,-5,14981.5,-70,12496.9
3245,-5,15001.9,-70,12517.1
3250,-5,15032.5,-60,12540.9
3255,-5,15052.9,-60,12561.3
3260,-5,15083.5,-60,12591.9
3265,-5,15103.9,-70,12608.9
3270,-5,15134.4,-70,12628.9
3275,-5,15154.8,-70,12659.5
3280,-5,15175.2,-70,12669.4
3285,-5,15195.9,-60,12686.7
3290,-5,15226.5,-60,12717.3
3295,-5,15247,-60,12738.4
3300,-5,15277.6,-90,12760.2
3305,-5,15298,-90,12769.8
3310,-5,15328.6,-90,12780.6
3315,-5,15348.8,-90,12808.1
3320,-5,15369.2,-90,12828.1
3325,-5,15399.8,-90,12838.4
3330,-5,15420.2,-90,12869.3
3335,-5,15450.8,-90,12889.9
3340,-5,15471.2,-90,12910.4
3345,-5,15491.6,-90,12931.2
3350,-5,15522.2,-90,12961.8
3355,-5,15542.6,-90,12972.1
3360,-5,15573.2,-90,12992.7
3365,-5,15593.7,-90,13013.6
3370,-5,15624.3,-90,13034.1
3375,-5,15644.7,-90,13055.1
3380,-5,15665.1,-80,13068
3385,-5,15695.7,-80,13088.6
3390,-5,15716.1,-90,13116.2
3395,-5,15746.7,-90,13116.7
3400,-5,15767,-90,13134.9
3405,-5,15797.6,-90,13155.8
3410,-5,15818,-90,13186.4
3415,-5,15848.8,-90,13209.6
3420,-5,15869.1,-90,13228.6
3425,-5,15880.5,-80,13260.5
3430,-5,15900.9,-70,13274
3435,-5,15931.6,-70,13306.1
3440,-5,15942,-70,13329
3445,-5,15962.2,-70,13337.1
3450,-5,15982.9,-60,13343
3455,-5,16013.2,-60,13370.6
3460,-5,16033.6,-60,13391.2
3465,-5,16043.8,-60,13401.2
3470,-5,16064.4,-60,13424.6
3475,-5,16084.9,-60,13445.3
3480,-5,16105.3,-70,13473.1
3485,-5,16135.9,-80,13490.1
3490,-5,16156.4,-90,13508.1
3495,-5,16176.8,-90,13529.6
3500,-5,16197.2,-90,13550.2
3505,-5,16227.8,-90,13581.1
3510,-5,16248.2,-90,13601.5
3515,-5,16278.8,-90,13622
3520,-5,16299.2,-90,13642.4
3525,-5,16319.7,-90,13653.3
3530,-5,16350.3,-90,13684.5
3535,-5,16370.8,-90,13705.8
3540,-5,16391.2,-80,13729.8
3545,-5,16411.6,-90,13747.2
3550,-5,16442.2,-90,13778.5
3555,-5,16462.6,-90,13788.5
3560,-5,16493.3,-90,13820
3565,-5,16513.7,-80,13833.5
3570,-5,16534.1,-90,13861.5
3575,-5,16564.7,-90,13881.9
3580,-5,16585.1,-90,13902
3585,-5,16615.7,-90,13932.1
3590,-5,16636.1,-90,13952.5
3595,-5,16666.7,-90,13983.1
3600,-5,16687.1,-90,14003.5
3605,-5,16707.5,-90,14033.7
3610,-5,16738,-90,14053.6
3615,-5,16758.4,-90,14073.8
3620,-5,16788.8,-90,14091.1
3625,-5,16809.2,-90,14111.2
3630,-5,16829.6,-90,14131.2
3635,-5,16849.9,-90,14150.3
3640,-5,16870.3,-90,14170.2
3645,-5,16900.9,-90,14200.9
3650,-5,16921.3,-90,14221.8
3655,-5,16951.9,-80,14245.1
3660,-5,16972.3,-80,14254.4
3665,-5,17002.9,-90,14281.9
3670,-5,17023.3,-90,14302.5
3675,-5,17043.5,-100,14317.2
3680,-5,17064,-90,14331.4
3685,-5,17094.6,-100,14359.8
3690,-5,17114.9,-90,14371
3695,-5,17135.4,-100,14400.4
3700,-5,17155.8,-100,14399.4
3705,-5,17186.4,-90,14422.4
3710,-5,17206.6,-90,14428.7
3715,-5,17227,-90,14449.7
3720,-5,17247.5,-90,14471.6
3725,-5,17278.1,-90,14502.2
3730,-5,17298.5,-90,14522.6
3735,-5,17329.1,-90,14553.8
3740,-5,17349.5,-90,14575.2
3745,-5,17380.1,-90,14606
3750,-5,17400.5,-90,14626.6
3755,-5,17421,-90,14648.1
3760,-5,17451.6,-90,14668.4
3765,-5,17472,-90,14688.4
3770,-5,17492.4,-90,14708.9
3775,-5,17522.9,-80,14721.4
3780,-5,17543.4,-70,14735.6
3785,-5,17563.8,-70,14756.1
3790,-5,17594.4,-60,14779.9
3795,-5,17614.8,-60,14800.3
3800,-5,17645.3,-60,14819.9
3805,-5,17665.7,-70,14836.9
3810,-5,17696.3,-70,14867.8
3815,-5,17716.7,-70,14888.4
3820,-5,17747.3,-70,14919.1
3825,-5,17757.5,-60,14932
3830,-5,17788.1,-60,14962.9
3835,-5,17808.5,-50,14977
3840,-5,17828.9,-50,14998
3845,-5,17859.6,-50,15018.9
3850,-5,17880,-50,15039.3
3855,-5,17910.6,-50,15069.9
3860,-5,17931,-60,15086.7
3865,-5,17961.6,-60,15117.3
3870,-5,17982,-50,15131.6
3875,-5,18002.4,-60,15157.9
3880,-5,18022.8,-60,15168.5
3885,-5,18053.4,-70,15195.8
3890,-5,18073.8,-70,15216.3
3895,-5,18104.5,-70,15247.3
3900,-5,18124.9,-70,15267.8
3905,-5,18155.5,-70,15298.7
3910,-5,18175.9,-80,15315.6
