# Avellaneda-Stoikov Bot

Step,AS Inventory,AS PnL

0,0,0
5,10,-994.4
10,10,-994.4
15,10,5
20,10,5
25,10,5
30,10,5
35,10,5
40,10,5
45,10,5.15
50,10,4.85
55,10,4.75
60,10,4.75
65,10,4.8
70,10,4.8
75,10,4.7
80,10,4.7
85,10,4.8
90,10,4.65
95,10,4.45
100,10,4.3
105,10,4.1
110,10,4.05
115,10,4.05
120,10,4.05
125,10,4.2
130,10,4.15
135,10,4.1
140,10,4.1
145,10,4
150,10,4
155,10,3.95
160,10,3.9
165,10,3.4
170,10,3.35
175,10,3.2
180,10,3.65
185,10,3.55
190,10,3.05
195,10,1.55
200,10,1.7
205,10,1.7
210,10,1.35
215,10,1.3
220,10,1.35
225,10,2.9
230,10,2.75
235,10,0.85
240,10,0.85
245,10,2.7
250,10,2.65
255,10,2.75
260,10,2.65
265,10,2.7
270,10,-0.15
275,0,4.7
280,0,4.7
285,0,4.7
290,0,4.7
295,0,4.7
300,0,4.7
305,0,4.7
310,0,4.7
315,0,4.7
320,0,4.7
325,0,4.7
330,0,4.7
335,0,4.7
340,0,4.7
345,0,4.7
350,0,4.7
355,0,4.7
360,0,4.7
365,0,4.7
370,0,4.7
375,0,4.7
380,0,4.7
385,0,4.7
390,0,4.7
395,0,4.7
400,0,4.7
405,0,4.7
410,0,4.7
415,0,4.7
420,0,4.7
425,0,4.7
430,0,4.7
435,0,4.7
440,0,4.7
445,0,4.7
450,0,4.7
455,0,4.7
460,0,4.7
465,0,4.7
470,0,4.7
475,0,4.7
480,0,4.7
485,0,4.7
490,0,4.7
495,0,4.7
500,0,4.7
505,0,4.7
510,0,4.7
515,0,4.7
520,0,4.7
525,0,4.7
530,0,4.7
535,0,4.7
540,0,4.7
545,0,4.7
550,0,4.7
555,0,4.7
560,0,4.7
565,0,4.7
570,0,4.7
575,0,4.7
580,0,4.7
585,0,4.7
590,0,4.7
595,0,4.7
600,0,4.7
605,0,4.7
610,0,4.7
615,0,4.7
620,0,4.7
625,0,4.7
630,0,4.7
635,0,4.7
640,0,4.7
645,0,4.7
650,0,4.7
655,0,4.7
660,0,4.7
665,0,4.7
670,0,4.7
675,0,4.7
680,0,4.7
685,0,4.7
690,0,4.7
695,0,4.7
700,0,4.7
705,0,4.7
710,0,4.7
