# Stoikov Micro-Price Bot

Step,SMP Inventory,SMP PnL

0,0,0
5,10,5.85
10,10,6.35
15,10,6.5
20,10,6.55
25,10,6.55
30,10,6.55
35,10,6.45
40,10,6.45
45,10,6.45
50,10,6.45
55,10,6.5
60,10,6.8
65,10,6.8
70,10,6.85
75,10,6.8
80,10,6.7
85,10,6.75
90,10,6.75
95,10,6.55
100,10,6.55
105,10,6.55
110,10,6.4
115,10,6.5
120,10,6.5
125,10,6.9
130,10,6.9
135,10,6.8
140,10,6.7
145,10,6.9
150,10,7.1
155,10,7.2
160,10,7.1
165,10,7.25
170,10,7.25
175,10,7.05
180,10,7.1
185,10,7.15
190,10,7.15
195,10,7.1
200,10,7.1
205,10,7.1
210,10,7.1
215,10,7.1
220,10,7.1
225,10,7.15
230,10,7.25
235,10,7.7
240,10,7.7
245,10,7.7
250,10,7.7
255,10,7.7
260,10,7.7
265,10,7.7
270,10,7.7
275,10,7.7
280,10,7.7
285,10,7.65
290,10,7.55
295,10,7.6
300,10,7.95
305,10,8
310,10,8
315,10,8
320,10,8
325,10,7.85
330,10,7.9
335,10,7.8
340,10,8.1
345,10,8.1
350,10,8.1
355,10,8.15
360,10,8.15
365,10,8.2
370,10,8.2
375,10,8.2
380,10,8.25
385,10,8.45
390,10,8.45
395,10,8.45
400,10,8.45
405,10,8.35
410,10,8.4
415,10,8.4
420,10,8.5
425,10,8.55
430,10,8.55
435,10,8.55
440,10,8.5
445,10,8.35
450,10,8.3
455,10,8.25
460,10,8.2
465,10,7.9
470,10,7.75
475,10,7.65
480,10,7.55
485,10,7.35
490,10,7.25
495,10,7.25
500,10,7.45
505,10,7.4
510,10,7.35
515,10,7.35
520,10,7.35
525,10,7.65
530,10,7.35
535,10,7.35
540,10,7.55
545,10,7.7
550,10,7.6
555,10,7.75
560,10,7.75
565,10,7.45
570,10,7.45
575,10,7.45
580,10,7.5
585,10,7.5
590,10,7.75
595,10,7.95
600,10,7.95
605,10,7.95
610,10,7.95
615,10,7.95
620,10,7.95
625,10,7.75
630,10,7.75
635,10,7.85
640,10,7.85
645,10,7.75
650,10,7.6
655,10,7.45
660,10,7.45
665,10,7.45
670,10,7.45
675,10,7.3
680,10,7.25
685,10,7.2
690,10,7.2
695,10,7.2
700,10,7.15
705,10,7.15
